accession_id	lineage	collection_date	country	center_name	host	TAXON	coverage	who
OP014988	BA.2.12.1	20220703	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014655	BA.5.2.1	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014662	BA.2.12.1	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014644	BA.5.1.23	20220630	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP015252	BA.4.1.1	20220705	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP015103	BA.2.12.1	20220703	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014787	BA.4.1	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014805	BF.4	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP016620	BA.2.12.1	20220706	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014796	BE.3	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014809	BA.4.4	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014810	BA.4.1	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014812	BA.5.2.1	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014797	BA.4.6	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014819	BA.5.1.10	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014793	BA.4.1	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014811	BA.5.1.30	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014795	BA.5.2.1	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
id	lineage	collection_date	country	center_name	host	TAXON	coverage	who
OP016656	BA.5.2	20220706	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014801	BA.4	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014814	BF.4	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014804	BF.4	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014834	BA.2.12.1	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014841	BA.2.12.1	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014825	BA.5.2.1	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014828	BF.1	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP015373	BA.5.6	20220705	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014815	BA.5.2	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014844	BE.3	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014853	BA.5.5	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014850	BE.1.4	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014838	BA.2.12.1	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP019407	BA.5.2.1	20220630	USA		Homo sapiens	2697049		Omicron
OP015352	BF.10	20220705	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014851	BF.4	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014836	BA.2.12.1	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014854	BA.5.2.9	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014820	BA.5.2.1	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014874	BA.2.12.1	20220702	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014848	BA.5.2.1	20220701	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014974	BF.26	20220703	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014952	BA.4.2	20220702	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014935	BA.5.2.1	20220702	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014958	BA.5.2.1	20220703	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014976	BA.4.1	20220703	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014943	BE.1	20220702	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP015505	BA.4.1	20220705	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP014977	BA.5.1	20220703	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP015018	BA.2.12.1	20220703	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP015005	BA.5.5	20220703	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP015016	BA.5.2	20220703	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP015011	BA.5.2.1	20220703	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP015012	BA.5.1.25	20220703	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP015021	BA.5.5	20220703	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP015020	BA.5.2.1	20220703	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP015027	BE.1.1	20220703	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP015169	BA.5.2.1	20220704	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP015024	BA.5.6	20220703	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP015014	BA.2.12.1	20220703	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP015010	BA.5.2.1	20220703	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP015037	BA.5.2.1	20220703	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP015064	BA.4.1	20220703	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP015058	BA.4.1	20220703	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP015054	BA.5.2.1	20220703	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP015039	BA.2.12.1	20220703	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP015044	BA.5.2.1	20220703	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP015589	BA.2.12.1	20220705	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
OP015050	BA.2.12.1	20220703	USA	CDC-OAMD	Homo sapiens	2697049		Omicron
