accession_id	lineage	collection_date	country	center_name	host	TAXON	coverage	who
OL988075	AY.44	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988066	AY.25.1	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988088	AY.44	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988106	AY.118	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988104	AY.103	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988117	AY.103	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988118	AY.4	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988127	B.1.617.2	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL990408	AY.3	20211126	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988135	AY.119	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988152	AY.25.1	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988145	AY.25	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988170	AY.25	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL989415	B.1.617.2	20210811	Bangladesh		Homo sapiens	2697049		Delta
OL988155	B.1.617.2	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988159	B.1.617.2	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988165	AY.100	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988176	AY.25	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988157	AY.103	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988161	B.1.617.2	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988171	AY.103	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988185	AY.44	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988186	AY.44	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988181	AY.103	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988179	AY.103	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988172	AY.118	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988188	AY.44	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
OL988174	AY.103	20211214	USA	CDC-OAMD	Homo sapiens	2697049		Delta
